cell_type,n_cells,model,pseudobulk_pearson,pseudobulk_rmse_log1p,encoder,species,organ,target,seed,ratio,n_genes
epithelial cell of lower respiratory tract.,216,train_mean,0.6183076500892639,0.161429762840271,conch,human,pancreas,HPXM007,2,1.0,150
epithelial cell of lung.,27,image,0.7574374079704285,0.1063250824809074,conch,human,pancreas,HPXM007,2,1.0,150
epithelial cell of lung.,27,train_mean,0.5763788819313049,0.1359509080648422,conch,human,pancreas,HPXM007,2,1.0,150
epithelial cell of proximal tubule.,254,image,0.8524688482284546,0.0765064880251884,conch,human,pancreas,HPXM007,2,1.0,150
epithelial cell of proximal tubule.,254,train_mean,0.7548800706863403,0.1039253696799278,conch,human,pancreas,HPXM007,2,1.0,150
epithelial cell.,109,image,0.8319449424743652,0.0758367478847503,conch,human,pancreas,HPXM007,2,1.0,150
epithelial cell.,109,train_mean,0.7683663964271545,0.0912332907319068,conch,human,pancreas,HPXM007,2,1.0,150
fibroblast of cardiac tissue.,90,image,0.6556758880615234,0.0638189166784286,conch,human,pancreas,HPXM007,2,1.0,150
fibroblast of cardiac tissue.,90,train_mean,0.5575401782989502,0.0635289028286933,conch,human,pancreas,HPXM007,2,1.0,150
fibroblast.,859,image,0.6462976932525635,0.068724051117897,conch,human,pancreas,HPXM007,2,1.0,150
fibroblast.,859,train_mean,0.6142098903656006,0.063665822148323,conch,human,pancreas,HPXM007,2,1.0,150
foveolar cell of stomach.,29,image,0.710748553276062,0.0938072502613067,conch,human,pancreas,HPXM007,2,1.0,150
foveolar cell of stomach.,29,train_mean,0.7484374642372131,0.0464709363877773,conch,human,pancreas,HPXM007,2,1.0,150
goblet cell.,34,image,0.8670130968093872,0.0745104774832725,conch,human,pancreas,HPXM007,2,1.0,150
goblet cell.,34,train_mean,0.7447442412376404,0.080396257340908,conch,human,pancreas,HPXM007,2,1.0,150
intestinal epithelial cell.,70,image,0.8390331268310547,0.0855791121721267,conch,human,pancreas,HPXM007,2,1.0,150
intestinal epithelial cell.,70,train_mean,0.614501953125,0.1276103556156158,conch,human,pancreas,HPXM007,2,1.0,150
kidney collecting duct principal cell.,922,image,0.540371298789978,0.10601457208395,conch,human,pancreas,HPXM007,2,1.0,150
kidney collecting duct principal cell.,922,train_mean,0.67120760679245,0.0684235617518425,conch,human,pancreas,HPXM007,2,1.0,150
kidney loop of Henle thick ascending limb epithelial cell.,255,image,0.669340968132019,0.0786208137869834,conch,human,pancreas,HPXM007,2,1.0,150
kidney loop of Henle thick ascending limb epithelial cell.,255,train_mean,0.7853860259056091,0.0459747351706028,conch,human,pancreas,HPXM007,2,1.0,150
kidney proximal convoluted tubule epithelial cell.,225,image,0.4649311006069183,0.1031633466482162,conch,human,pancreas,HPXM007,2,1.0,150
kidney proximal convoluted tubule epithelial cell.,225,train_mean,0.6686493754386902,0.0551809668540954,conch,human,pancreas,HPXM007,2,1.0,150
macrophage.,1008,image,0.3280450403690338,0.0886539444327354,conch,human,pancreas,HPXM007,2,1.0,150
macrophage.,1008,train_mean,0.5608353614807129,0.0646219998598098,conch,human,pancreas,HPXM007,2,1.0,150
malignant cell.,42,image,0.4113856554031372,0.0850681662559509,conch,human,pancreas,HPXM007,2,1.0,150
malignant cell.,42,train_mean,0.5349844098091125,0.0597174055874347,conch,human,pancreas,HPXM007,2,1.0,150
mammary alveolar cell.,38,image,0.769255518913269,0.0796445608139038,conch,human,pancreas,HPXM007,2,1.0,150
mammary alveolar cell.,38,train_mean,0.7341737151145935,0.0766998529434204,conch,human,pancreas,HPXM007,2,1.0,150
microglial cell.,36,image,0.3394210636615753,0.0743884742259979,conch,human,pancreas,HPXM007,2,1.0,150
microglial cell.,36,train_mean,0.4402176141738891,0.0636966004967689,conch,human,pancreas,HPXM007,2,1.0,150
myeloid cell.,95,image,0.43106609582901,0.0859917029738426,conch,human,pancreas,HPXM007,2,1.0,150
myeloid cell.,95,train_mean,0.5415384769439697,0.0694496408104896,conch,human,pancreas,HPXM007,2,1.0,150
natural killer cell.,90,image,0.2703088521957397,0.086948849260807,conch,human,pancreas,HPXM007,2,1.0,150
natural killer cell.,90,train_mean,0.3240668773651123,0.0812059044837951,conch,human,pancreas,HPXM007,2,1.0,150
pancreatic A cell.,259,image,0.6762511134147644,0.0712237879633903,conch,human,pancreas,HPXM007,2,1.0,150
pancreatic A cell.,259,train_mean,0.8020814657211304,0.0481186099350452,conch,human,pancreas,HPXM007,2,1.0,150
pancreatic ductal cell.,30,image,0.6904162764549255,0.0878370627760887,conch,human,pancreas,HPXM007,2,1.0,150
pancreatic ductal cell.,30,train_mean,0.7661111950874329,0.0746708512306213,conch,human,pancreas,HPXM007,2,1.0,150
secretory cell.,42,image,0.582676112651825,0.1137666404247284,conch,human,pancreas,HPXM007,2,1.0,150
secretory cell.,42,train_mean,0.7406913638114929,0.0829309672117233,conch,human,pancreas,HPXM007,2,1.0,150
smooth muscle cell.,777,image,0.8539333939552307,0.0548037998378276,conch,human,pancreas,HPXM007,2,1.0,150
smooth muscle cell.,777,train_mean,0.6012571454048157,0.0850345939397811,conch,human,pancreas,HPXM007,2,1.0,150
stromal cell of ovary.,93,image,0.5379913449287415,0.0718731805682182,conch,human,pancreas,HPXM007,2,1.0,150
stromal cell of ovary.,93,train_mean,0.5095534920692444,0.0657077804207801,conch,human,pancreas,HPXM007,2,1.0,150
stromal cell.,1386,image,0.6349448561668396,0.0684231296181678,conch,human,pancreas,HPXM007,2,1.0,150
stromal cell.,1386,train_mean,0.5421116352081299,0.068761833012104,conch,human,pancreas,HPXM007,2,1.0,150
type I pneumocyte.,22,image,0.8824013471603394,0.0689472779631614,conch,human,pancreas,HPXM007,2,1.0,150
type I pneumocyte.,22,train_mean,0.7579360008239746,0.1046554371714592,conch,human,pancreas,HPXM007,2,1.0,150
B cell.,61,image,0.0134898005053401,0.147391602396965,conch,human,pancreas,PCHM006,0,1.0,130
B cell.,61,train_mean,0.1356736421585083,0.1305533498525619,conch,human,pancreas,PCHM006,0,1.0,130
"CD14-positive, CD16-negative classical monocyte.",21,image,-0.0051170401275157,0.1415660381317138,conch,human,pancreas,PCHM006,0,1.0,130
"CD14-positive, CD16-negative classical monocyte.",21,train_mean,0.2013558894395828,0.1012156903743743,conch,human,pancreas,PCHM006,0,1.0,130
"CD4-positive, alpha-beta T cell.",33,image,-0.0165962241590023,0.1355131864547729,conch,human,pancreas,PCHM006,0,1.0,130
"CD4-positive, alpha-beta T cell.",33,train_mean,0.1506539136171341,0.0916798561811447,conch,human,pancreas,PCHM006,0,1.0,130
"CD8-positive, alpha-beta T cell.",91,image,-0.0506656505167484,0.1474028974771499,conch,human,pancreas,PCHM006,0,1.0,130
"CD8-positive, alpha-beta T cell.",91,train_mean,0.1276021748781204,0.1138544902205467,conch,human,pancreas,PCHM006,0,1.0,130
"CD8-positive, alpha-beta memory T cell.",20,image,-0.0017115413211286,0.1865629851818084,conch,human,pancreas,PCHM006,0,1.0,130
"CD8-positive, alpha-beta memory T cell.",20,train_mean,0.1078701466321945,0.1714589297771453,conch,human,pancreas,PCHM006,0,1.0,130
T cell.,337,image,0.0270314384251832,0.1749176234006881,conch,human,pancreas,PCHM006,0,1.0,130
T cell.,337,train_mean,0.1894831210374832,0.1486668139696121,conch,human,pancreas,PCHM006,0,1.0,130
basal cell.,35,image,0.2550045549869537,0.1625683158636093,conch,human,pancreas,PCHM006,0,1.0,130
basal cell.,35,train_mean,0.3390625715255737,0.0902642682194709,conch,human,pancreas,PCHM006,0,1.0,130
classical monocyte.,47,image,0.0357528179883956,0.1358542293310165,conch,human,pancreas,PCHM006,0,1.0,130
classical monocyte.,47,train_mean,0.2049382477998733,0.1120302304625511,conch,human,pancreas,PCHM006,0,1.0,130
cortical cell of adrenal gland.,36,image,0.4036353230476379,0.1532152891159057,conch,human,pancreas,PCHM006,0,1.0,130
cortical cell of adrenal gland.,36,train_mean,0.4852367043495178,0.0891247689723968,conch,human,pancreas,PCHM006,0,1.0,130
cortical thymic epithelial cell.,20,image,0.3815914392471313,0.1780610531568527,conch,human,pancreas,PCHM006,0,1.0,130
cortical thymic epithelial cell.,20,train_mean,0.4070087373256683,0.1334129422903061,conch,human,pancreas,PCHM006,0,1.0,130
dendritic cell.,43,image,0.0507943704724311,0.180596187710762,conch,human,pancreas,PCHM006,0,1.0,130
dendritic cell.,43,train_mean,0.2249603420495987,0.1573015302419662,conch,human,pancreas,PCHM006,0,1.0,130
endothelial cell.,3277,image,0.4515285789966583,0.1261298656463623,conch,human,pancreas,PCHM006,0,1.0,130
endothelial cell.,3277,train_mean,0.641914963722229,0.0624851509928703,conch,human,pancreas,PCHM006,0,1.0,130
enterocyte.,197,image,0.4523789882659912,0.1611361354589462,conch,human,pancreas,PCHM006,0,1.0,130
enterocyte.,197,train_mean,0.4356603920459747,0.1191935464739799,conch,human,pancreas,PCHM006,0,1.0,130
epithelial cell of lower respiratory tract.,36,image,0.5423963069915771,0.1549599319696426,conch,human,pancreas,PCHM006,0,1.0,130
epithelial cell of lower respiratory tract.,36,train_mean,0.5328142046928406,0.0938810557126998,conch,human,pancreas,PCHM006,0,1.0,130
epithelial cell of proximal tubule.,164,image,0.4669268131256103,0.1577820777893066,conch,human,pancreas,PCHM006,0,1.0,130
epithelial cell of proximal tubule.,164,train_mean,0.491750419139862,0.1073269546031951,conch,human,pancreas,PCHM006,0,1.0,130
epithelial cell.,1536,image,0.4830536544322967,0.1603784561157226,conch,human,pancreas,PCHM006,0,1.0,130
epithelial cell.,1536,train_mean,0.5121169090270996,0.122032880783081,conch,human,pancreas,PCHM006,0,1.0,130
fibroblast.,1561,image,0.4554603099822998,0.1137759163975715,conch,human,pancreas,PCHM006,0,1.0,130
fibroblast.,1561,train_mean,0.6542567014694214,0.0835096687078476,conch,human,pancreas,PCHM006,0,1.0,130
immature innate lymphoid cell.,40,image,0.4462020993232727,0.1445188075304031,conch,human,pancreas,PCHM006,0,1.0,130
immature innate lymphoid cell.,40,train_mean,0.5282586812973022,0.1368524134159088,conch,human,pancreas,PCHM006,0,1.0,130
intestinal epithelial cell.,148,image,0.5685386061668396,0.1633874624967575,conch,human,pancreas,PCHM006,0,1.0,130
intestinal epithelial cell.,148,train_mean,0.5363690257072449,0.1484882682561874,conch,human,pancreas,PCHM006,0,1.0,130
kidney collecting duct principal cell.,32,image,0.519379734992981,0.1529698073863983,conch,human,pancreas,PCHM006,0,1.0,130
kidney collecting duct principal cell.,32,train_mean,0.5057100057601929,0.110163003206253,conch,human,pancreas,PCHM006,0,1.0,130
lung endothelial cell.,49,image,0.1282984763383865,0.147254467010498,conch,human,pancreas,PCHM006,0,1.0,130
lung endothelial cell.,49,train_mean,0.3548370897769928,0.1013657301664352,conch,human,pancreas,PCHM006,0,1.0,130
macrophage.,1440,image,0.1466939896345138,0.1497806906700134,conch,human,pancreas,PCHM006,0,1.0,130
macrophage.,1440,train_mean,0.3192527890205383,0.1200053691864013,conch,human,pancreas,PCHM006,0,1.0,130
mesothelial cell.,55,image,0.3438398540019989,0.1948434859514236,conch,human,pancreas,PCHM006,0,1.0,130
mesothelial cell.,55,train_mean,0.3950091600418091,0.1603424400091171,conch,human,pancreas,PCHM006,0,1.0,130
microglial cell.,50,image,0.0783593729138374,0.1686558872461319,conch,human,pancreas,PCHM006,0,1.0,130
microglial cell.,50,train_mean,0.2529491782188415,0.1315844058990478,conch,human,pancreas,PCHM006,0,1.0,130
monocyte.,47,image,0.0403445847332477,0.1711728870868683,conch,human,pancreas,PCHM006,0,1.0,130
monocyte.,47,train_mean,0.261983573436737,0.1312493979930877,conch,human,pancreas,PCHM006,0,1.0,130
myeloid cell.,22,image,0.1014738902449607,0.1402070373296737,conch,human,pancreas,PCHM006,0,1.0,130
myeloid cell.,22,train_mean,0.3080565631389618,0.100427821278572,conch,human,pancreas,PCHM006,0,1.0,130
native cell.,91,image,0.5674400925636292,0.1094915270805358,conch,human,pancreas,PCHM006,0,1.0,130
native cell.,91,train_mean,0.7281217575073242,0.0758257135748863,conch,human,pancreas,PCHM006,0,1.0,130
natural killer cell.,70,image,0.0297112520784139,0.1607240289449691,conch,human,pancreas,PCHM006,0,1.0,130
natural killer cell.,70,train_mean,0.2083203047513961,0.1310424655675888,conch,human,pancreas,PCHM006,0,1.0,130
neutrophil.,33,image,0.1367359906435012,0.1288083046674728,conch,human,pancreas,PCHM006,0,1.0,130
neutrophil.,33,train_mean,0.3768123388290405,0.0778533220291137,conch,human,pancreas,PCHM006,0,1.0,130
pancreatic A cell.,539,image,0.6390388011932373,0.130172997713089,conch,human,pancreas,PCHM006,0,1.0,130
pancreatic A cell.,539,train_mean,0.7138678431510925,0.0491391494870185,conch,human,pancreas,PCHM006,0,1.0,130
pancreatic ductal cell.,163,image,0.519596517086029,0.1495161652565002,conch,human,pancreas,PCHM006,0,1.0,130
pancreatic ductal cell.,163,train_mean,0.5292649865150452,0.1160341203212738,conch,human,pancreas,PCHM006,0,1.0,130
plasma cell.,25,image,0.0127334361895918,0.1303579062223434,conch,human,pancreas,PCHM006,0,1.0,130
plasma cell.,25,train_mean,0.1913283020257949,0.0781745240092277,conch,human,pancreas,PCHM006,0,1.0,130
respiratory basal cell.,34,image,0.4110156893730163,0.1847798526287078,conch,human,pancreas,PCHM006,0,1.0,130
respiratory basal cell.,34,train_mean,0.4222881197929382,0.140071615576744,conch,human,pancreas,PCHM006,0,1.0,130
secretory cell.,389,image,0.4036665558815002,0.1782597303390503,conch,human,pancreas,PCHM006,0,1.0,130
secretory cell.,389,train_mean,0.4362783432006836,0.1417040228843689,conch,human,pancreas,PCHM006,0,1.0,130
smooth muscle cell.,299,image,0.6196736097335815,0.0939242616295814,conch,human,pancreas,PCHM006,0,1.0,130
smooth muscle cell.,299,train_mean,0.729677140712738,0.0650450736284256,conch,human,pancreas,PCHM006,0,1.0,130
stromal cell.,612,image,0.503812313079834,0.0985538214445114,conch,human,pancreas,PCHM006,0,1.0,130
stromal cell.,612,train_mean,0.7198053002357483,0.0520798005163669,conch,human,pancreas,PCHM006,0,1.0,130
B cell.,61,image,0.0168433617800474,0.1457427591085434,conch,human,pancreas,PCHM006,1,1.0,130
B cell.,61,train_mean,0.1356736421585083,0.1305533498525619,conch,human,pancreas,PCHM006,1,1.0,130
"CD14-positive, CD16-negative classical monocyte.",21,image,-0.0067551797255873,0.1402469873428344,conch,human,pancreas,PCHM006,1,1.0,130
"CD14-positive, CD16-negative classical monocyte.",21,train_mean,0.2013558894395828,0.1012156903743743,conch,human,pancreas,PCHM006,1,1.0,130
"CD4-positive, alpha-beta T cell.",33,image,-0.0206492021679878,0.1337233781814575,conch,human,pancreas,PCHM006,1,1.0,130
"CD4-positive, alpha-beta T cell.",33,train_mean,0.1506539136171341,0.0916798561811447,conch,human,pancreas,PCHM006,1,1.0,130
"CD8-positive, alpha-beta T cell.",91,image,-0.0509902983903884,0.1451680660247802,conch,human,pancreas,PCHM006,1,1.0,130
"CD8-positive, alpha-beta T cell.",91,train_mean,0.1276021748781204,0.1138544902205467,conch,human,pancreas,PCHM006,1,1.0,130
"CD8-positive, alpha-beta memory T cell.",20,image,-0.0020239904988557,0.1853041648864746,conch,human,pancreas,PCHM006,1,1.0,130
"CD8-positive, alpha-beta memory T cell.",20,train_mean,0.1078701466321945,0.1714589297771453,conch,human,pancreas,PCHM006,1,1.0,130
T cell.,337,image,0.0287660211324691,0.1731757968664169,conch,human,pancreas,PCHM006,1,1.0,130
T cell.,337,train_mean,0.1894831210374832,0.1486668139696121,conch,human,pancreas,PCHM006,1,1.0,130
basal cell.,35,image,0.2561738193035126,0.1620200425386428,conch,human,pancreas,PCHM006,1,1.0,130
basal cell.,35,train_mean,0.3390625715255737,0.0902642682194709,conch,human,pancreas,PCHM006,1,1.0,130
classical monocyte.,47,image,0.039115060120821,0.1347585469484329,conch,human,pancreas,PCHM006,1,1.0,130
classical monocyte.,47,train_mean,0.2049382477998733,0.1120302304625511,conch,human,pancreas,PCHM006,1,1.0,130
cortical cell of adrenal gland.,36,image,0.4055998921394348,0.1516770273447036,conch,human,pancreas,PCHM006,1,1.0,130
cortical cell of adrenal gland.,36,train_mean,0.4852367043495178,0.0891247689723968,conch,human,pancreas,PCHM006,1,1.0,130
cortical thymic epithelial cell.,20,image,0.3815430104732513,0.1764842718839645,conch,human,pancreas,PCHM006,1,1.0,130
cortical thymic epithelial cell.,20,train_mean,0.4070087373256683,0.1334129422903061,conch,human,pancreas,PCHM006,1,1.0,130
dendritic cell.,43,image,0.0521353930234909,0.179651528596878,conch,human,pancreas,PCHM006,1,1.0,130
dendritic cell.,43,train_mean,0.2249603420495987,0.1573015302419662,conch,human,pancreas,PCHM006,1,1.0,130
endothelial cell.,3277,image,0.4528034329414367,0.1245924904942512,conch,human,pancreas,PCHM006,1,1.0,130
endothelial cell.,3277,train_mean,0.641914963722229,0.0624851509928703,conch,human,pancreas,PCHM006,1,1.0,130
enterocyte.,197,image,0.4498897194862366,0.16008360683918,conch,human,pancreas,PCHM006,1,1.0,130
enterocyte.,197,train_mean,0.4356603920459747,0.1191935464739799,conch,human,pancreas,PCHM006,1,1.0,130
epithelial cell of lower respiratory tract.,36,image,0.5402928590774536,0.1535583585500717,conch,human,pancreas,PCHM006,1,1.0,130
epithelial cell of lower respiratory tract.,36,train_mean,0.5328142046928406,0.0938810557126998,conch,human,pancreas,PCHM006,1,1.0,130
epithelial cell of proximal tubule.,164,image,0.4661763906478882,0.156452476978302,conch,human,pancreas,PCHM006,1,1.0,130
epithelial cell of proximal tubule.,164,train_mean,0.491750419139862,0.1073269546031951,conch,human,pancreas,PCHM006,1,1.0,130
epithelial cell.,1536,image,0.4829939603805542,0.159113734960556,conch,human,pancreas,PCHM006,1,1.0,130
epithelial cell.,1536,train_mean,0.5121169090270996,0.122032880783081,conch,human,pancreas,PCHM006,1,1.0,130
fibroblast.,1561,image,0.4637501239776611,0.1126476153731346,conch,human,pancreas,PCHM006,1,1.0,130
fibroblast.,1561,train_mean,0.6542567014694214,0.0835096687078476,conch,human,pancreas,PCHM006,1,1.0,130
immature innate lymphoid cell.,40,image,0.4588534235954284,0.1434162557125091,conch,human,pancreas,PCHM006,1,1.0,130
immature innate lymphoid cell.,40,train_mean,0.5282586812973022,0.1368524134159088,conch,human,pancreas,PCHM006,1,1.0,130
intestinal epithelial cell.,148,image,0.5664608478546143,0.1627196967601776,conch,human,pancreas,PCHM006,1,1.0,130
intestinal epithelial cell.,148,train_mean,0.5363690257072449,0.1484882682561874,conch,human,pancreas,PCHM006,1,1.0,130
kidney collecting duct principal cell.,32,image,0.5193027853965759,0.1521189212799072,conch,human,pancreas,PCHM006,1,1.0,130
kidney collecting duct principal cell.,32,train_mean,0.5057100057601929,0.110163003206253,conch,human,pancreas,PCHM006,1,1.0,130
lung endothelial cell.,49,image,0.1320537328720092,0.1454510986804962,conch,human,pancreas,PCHM006,1,1.0,130
lung endothelial cell.,49,train_mean,0.3548370897769928,0.1013657301664352,conch,human,pancreas,PCHM006,1,1.0,130
macrophage.,1440,image,0.1511749774217605,0.14883653819561,conch,human,pancreas,PCHM006,1,1.0,130
macrophage.,1440,train_mean,0.3192527890205383,0.1200053691864013,conch,human,pancreas,PCHM006,1,1.0,130
mesothelial cell.,55,image,0.3442668914794922,0.1941500455141067,conch,human,pancreas,PCHM006,1,1.0,130
mesothelial cell.,55,train_mean,0.3950091600418091,0.1603424400091171,conch,human,pancreas,PCHM006,1,1.0,130
microglial cell.,50,image,0.0823111906647682,0.1676186770200729,conch,human,pancreas,PCHM006,1,1.0,130
microglial cell.,50,train_mean,0.2529491782188415,0.1315844058990478,conch,human,pancreas,PCHM006,1,1.0,130
monocyte.,47,image,0.044334378093481,0.1700102239847183,conch,human,pancreas,PCHM006,1,1.0,130
monocyte.,47,train_mean,0.261983573436737,0.1312493979930877,conch,human,pancreas,PCHM006,1,1.0,130
myeloid cell.,22,image,0.106376364827156,0.1385324001312255,conch,human,pancreas,PCHM006,1,1.0,130
myeloid cell.,22,train_mean,0.3080565631389618,0.100427821278572,conch,human,pancreas,PCHM006,1,1.0,130
native cell.,91,image,0.5739363431930542,0.1080752089619636,conch,human,pancreas,PCHM006,1,1.0,130
native cell.,91,train_mean,0.7281217575073242,0.0758257135748863,conch,human,pancreas,PCHM006,1,1.0,130
natural killer cell.,70,image,0.032619435340166,0.1589359641075134,conch,human,pancreas,PCHM006,1,1.0,130
natural killer cell.,70,train_mean,0.2083203047513961,0.1310424655675888,conch,human,pancreas,PCHM006,1,1.0,130
neutrophil.,33,image,0.1336648613214492,0.128433346748352,conch,human,pancreas,PCHM006,1,1.0,130
neutrophil.,33,train_mean,0.3768123388290405,0.0778533220291137,conch,human,pancreas,PCHM006,1,1.0,130
pancreatic A cell.,539,image,0.638634443283081,0.1286483854055404,conch,human,pancreas,PCHM006,1,1.0,130
pancreatic A cell.,539,train_mean,0.7138678431510925,0.0491391494870185,conch,human,pancreas,PCHM006,1,1.0,130
pancreatic ductal cell.,163,image,0.51854008436203,0.1483435481786728,conch,human,pancreas,PCHM006,1,1.0,130
pancreatic ductal cell.,163,train_mean,0.5292649865150452,0.1160341203212738,conch,human,pancreas,PCHM006,1,1.0,130
plasma cell.,25,image,0.015255993232131,0.1289765238761901,conch,human,pancreas,PCHM006,1,1.0,130
plasma cell.,25,train_mean,0.1913283020257949,0.0781745240092277,conch,human,pancreas,PCHM006,1,1.0,130
respiratory basal cell.,34,image,0.4098866879940033,0.1837479919195175,conch,human,pancreas,PCHM006,1,1.0,130
respiratory basal cell.,34,train_mean,0.4222881197929382,0.140071615576744,conch,human,pancreas,PCHM006,1,1.0,130
secretory cell.,389,image,0.4036805927753448,0.1769938617944717,conch,human,pancreas,PCHM006,1,1.0,130
secretory cell.,389,train_mean,0.4362783432006836,0.1417040228843689,conch,human,pancreas,PCHM006,1,1.0,130
smooth muscle cell.,299,image,0.6311753392219543,0.0918875560164451,conch,human,pancreas,PCHM006,1,1.0,130
smooth muscle cell.,299,train_mean,0.729677140712738,0.0650450736284256,conch,human,pancreas,PCHM006,1,1.0,130
stromal cell.,612,image,0.5138831734657288,0.0969322398304939,conch,human,pancreas,PCHM006,1,1.0,130
stromal cell.,612,train_mean,0.7198053002357483,0.0520798005163669,conch,human,pancreas,PCHM006,1,1.0,130
B cell.,61,image,0.0122752245515584,0.1469204574823379,conch,human,pancreas,PCHM006,2,1.0,130
B cell.,61,train_mean,0.1356736421585083,0.1305533498525619,conch,human,pancreas,PCHM006,2,1.0,130
"CD14-positive, CD16-negative classical monocyte.",21,image,-0.0056626200675964,0.1407974660396576,conch,human,pancreas,PCHM006,2,1.0,130
"CD14-positive, CD16-negative classical monocyte.",21,train_mean,0.2013558894395828,0.1012156903743743,conch,human,pancreas,PCHM006,2,1.0,130
"CD4-positive, alpha-beta T cell.",33,image,-0.0168517492711544,0.1363728493452072,conch,human,pancreas,PCHM006,2,1.0,130
"CD4-positive, alpha-beta T cell.",33,train_mean,0.1506539136171341,0.0916798561811447,conch,human,pancreas,PCHM006,2,1.0,130
"CD8-positive, alpha-beta T cell.",91,image,-0.0449514351785182,0.1459677368402481,conch,human,pancreas,PCHM006,2,1.0,130
"CD8-positive, alpha-beta T cell.",91,train_mean,0.1276021748781204,0.1138544902205467,conch,human,pancreas,PCHM006,2,1.0,130
"CD8-positive, alpha-beta memory T cell.",20,image,6.657817721134052e-05,0.1860668659210205,conch,human,pancreas,PCHM006,2,1.0,130
"CD8-positive, alpha-beta memory T cell.",20,train_mean,0.1078701466321945,0.1714589297771453,conch,human,pancreas,PCHM006,2,1.0,130
T cell.,337,image,0.0290663465857505,0.1742483228445053,conch,human,pancreas,PCHM006,2,1.0,130
T cell.,337,train_mean,0.1894831210374832,0.1486668139696121,conch,human,pancreas,PCHM006,2,1.0,130
basal cell.,35,image,0.2616805732250213,0.1640562266111374,conch,human,pancreas,PCHM006,2,1.0,130
basal cell.,35,train_mean,0.3390625715255737,0.0902642682194709,conch,human,pancreas,PCHM006,2,1.0,130
classical monocyte.,47,image,0.0370217822492122,0.1351546198129654,conch,human,pancreas,PCHM006,2,1.0,130
classical monocyte.,47,train_mean,0.2049382477998733,0.1120302304625511,conch,human,pancreas,PCHM006,2,1.0,130
cortical cell of adrenal gland.,36,image,0.4072988629341125,0.1533387899398803,conch,human,pancreas,PCHM006,2,1.0,130
cortical cell of adrenal gland.,36,train_mean,0.4852367043495178,0.0891247689723968,conch,human,pancreas,PCHM006,2,1.0,130
cortical thymic epithelial cell.,20,image,0.391740083694458,0.1765789091587066,conch,human,pancreas,PCHM006,2,1.0,130
cortical thymic epithelial cell.,20,train_mean,0.4070087373256683,0.1334129422903061,conch,human,pancreas,PCHM006,2,1.0,130
dendritic cell.,43,image,0.044511891901493,0.1809909790754318,conch,human,pancreas,PCHM006,2,1.0,130
dendritic cell.,43,train_mean,0.2249603420495987,0.1573015302419662,conch,human,pancreas,PCHM006,2,1.0,130
endothelial cell.,3277,image,0.4552983045578003,0.1261012852191925,conch,human,pancreas,PCHM006,2,1.0,130
endothelial cell.,3277,train_mean,0.641914963722229,0.0624851509928703,conch,human,pancreas,PCHM006,2,1.0,130
enterocyte.,197,image,0.4587426483631134,0.1602753102779388,conch,human,pancreas,PCHM006,2,1.0,130
enterocyte.,197,train_mean,0.4356603920459747,0.1191935464739799,conch,human,pancreas,PCHM006,2,1.0,130
epithelial cell of lower respiratory tract.,36,image,0.5500947833061218,0.1552260518074035,conch,human,pancreas,PCHM006,2,1.0,130
epithelial cell of lower respiratory tract.,36,train_mean,0.5328142046928406,0.0938810557126998,conch,human,pancreas,PCHM006,2,1.0,130
epithelial cell of proximal tubule.,164,image,0.4753391444683075,0.1573432087898254,conch,human,pancreas,PCHM006,2,1.0,130
epithelial cell of proximal tubule.,164,train_mean,0.491750419139862,0.1073269546031951,conch,human,pancreas,PCHM006,2,1.0,130
epithelial cell.,1536,image,0.4913441836833954,0.1594024896621704,conch,human,pancreas,PCHM006,2,1.0,130
epithelial cell.,1536,train_mean,0.5121169090270996,0.122032880783081,conch,human,pancreas,PCHM006,2,1.0,130
fibroblast.,1561,image,0.4432775974273681,0.1154999136924743,conch,human,pancreas,PCHM006,2,1.0,130
fibroblast.,1561,train_mean,0.6542567014694214,0.0835096687078476,conch,human,pancreas,PCHM006,2,1.0,130
immature innate lymphoid cell.,40,image,0.4392747581005096,0.145382672548294,conch,human,pancreas,PCHM006,2,1.0,130
immature innate lymphoid cell.,40,train_mean,0.5282586812973022,0.1368524134159088,conch,human,pancreas,PCHM006,2,1.0,130
intestinal epithelial cell.,148,image,0.576241135597229,0.1622987687587738,conch,human,pancreas,PCHM006,2,1.0,130
intestinal epithelial cell.,148,train_mean,0.5363690257072449,0.1484882682561874,conch,human,pancreas,PCHM006,2,1.0,130
kidney collecting duct principal cell.,32,image,0.5287319421768188,0.1526204794645309,conch,human,pancreas,PCHM006,2,1.0,130
kidney collecting duct principal cell.,32,train_mean,0.5057100057601929,0.110163003206253,conch,human,pancreas,PCHM006,2,1.0,130
lung endothelial cell.,49,image,0.1291118264198303,0.1467630863189697,conch,human,pancreas,PCHM006,2,1.0,130
lung endothelial cell.,49,train_mean,0.3548370897769928,0.1013657301664352,conch,human,pancreas,PCHM006,2,1.0,130
macrophage.,1440,image,0.1436969190835952,0.1498887836933136,conch,human,pancreas,PCHM006,2,1.0,130
macrophage.,1440,train_mean,0.3192527890205383,0.1200053691864013,conch,human,pancreas,PCHM006,2,1.0,130
mesothelial cell.,55,image,0.3511936962604522,0.1940563768148422,conch,human,pancreas,PCHM006,2,1.0,130
mesothelial cell.,55,train_mean,0.3950091600418091,0.1603424400091171,conch,human,pancreas,PCHM006,2,1.0,130
